City,Zip Code
Achim,28832
Ahaus,48683
Ahaus,48683
Ahrensburg,22926
Aichach,86551
Albstadt,72461
Alfeld (Leine),31061
Allensbach,78476
Alzey,55232
Alzey,55232
Andernach,56626
Ankum,49577
Augsburg,86150
Aurich,26603
Bad Abbach,93077
Bad Kissingen,97688
Bad Kötzting,93444
Bad Kreuznach,55543
Bad Kreuznach,55543
Bad Oldesloe,23843
Bad Reichenhall,83435
Bad Salzuflen,32108
Bad Saulgau,88348
Bad Wörishofen,86825
Bad Wurzach,88410
Baden-Baden,76532
Bamberg,96052
Bamberg,96050
Barmstedt,25355
Barsinghausen,30890
Bayreuth,95448
Bayreuth,95444
Bayreuth,95448
Beilngries,92339
Bergneustadt,51702
Biberach,88400
Bingen,55411
Bingen,55411
Bisingen,72406
Böblingen,71032
Bocholt,46395
Bochum,44809
Bockenem,31167
Bogen,94327
Bonn,53173
Bonn,53111
Bonn,53111
Bonn,53117
Borgholzhausen,33829
Brake,26919
Braunschweig,38118
Braunschweig,38102
Braunschweig,38120
Bremen,28279
Bremerhaven,27578
Bretten,75015
Buchloe,86807
Burgthann,90559
Celle,29221
Celle,29221
Cloppenburg,49661
Cloppenburg,49661
Coburg,96450
Dachau,85221
Dachau,85221
Detmold,32758
Dietenheim,89165
Dingolfing,84130
Dinslaken,46535
Ditzingen,71254
Donaueschingen,78166
Donauwörth,86609
Dornstadt,89160
Dortmund,44225
Dortmund,44145
Dortmund,44328
Dortmund,44145
Dortmund,44135
Dortmund,44137
Dortmund,44137
Dortmund,44145
Duisburg,47051
Duisburg,47137
Dülmen,48249
Düsseldorf,40477
Düsseldorf,40231
Düsseldorf,40210
Düsseldorf,40625
Eching,84174
Edewecht,26188
Ehingen,89584
Eislingen,73054
Elchingen,89275
Emden,26721
Emden,26723
Emden,26725
Emstek,49685
Erfurt,99084
Erfurt,99084
Eriskirch,88097
Erlangen,91052
Esens,26427
Essen,45356
Essen,45355
Euskirchen,53879
Feuchtwangen,91555
Forchheim,91301
Frechen,50226
Frechen,50226
Freiburg,79098
Freising,85356
Freudenberg,57258
Friedeburg,26446
Friedrichsthal,66299
Friesoythe,26169
Garrel,49681
Geeste,49744
Geiselwind,96160
Gelsenkirchen,45894
Gelsenkirchen,45886
Gelsenkirchen,45897
Gelsenkirchen,45881
Gera,07546
Geretsried,82538
Gernsheim,64579
Gifhorn,38518
Gilching,82205
Göttingen,37081
Göttingen,37079
Grömitz,23743
Gronau,48599
Gronau,48599
Grünstadt,67269
Günzburg,89312
Haag,83527
Haar,85540
Halstenbek,25469
Haltern,45721
Hamburg,22143
Hamburg,21129
Hamburg,22081
Hamburg,21107
Hamburg,22457
Hamburg,21107
Hamburg,22525
Hameln,31789
Hamminkeln,46499
Hannover,30179
Hannover,30453
Hannover,30519
Hannover,30169
Hattingen,45527
Hechingen,72379
Heiligenroth,56412
Heinsberg,52525
Helmbrechts,95233
Henstedt-Ulzburg,24558
Hergatz,88145
Herne,44629
Herne,44652
Herne,44652
Herten,45699
Höchstädt,89420
Hof,95032
Holzwickede,59439
Hude,27798
Idar-Oberstein,55743
Immenstadt,87509
Ingelheim,55218
Itzehoe,25524
Jever,26441
Jork,21635
Kaiserslautern,67655
Kamen,59174
Kandel,76870
Kaufbeuren,87600
Kempten,87435
Kirchhain,35274
Kirchheim unter Teck,73230
Kirchheim unter Teck,73230
Kitzingen,97318
Klein Rönnau,23795
Kleve,47533
Knetzgau,97478
Knetzgau,97478
Koblenz,56073
Kolbermoor,83059
Köln,50676
Köln,50827
Köln,50858
Köln,51109
Köln,51065
Königsbrunn,86343
Königsbrunn,86343
Krefeld,47803
Krefeld,47799
Krefeld,47798
Krefeld,47809
Krumbach,86381
Kulmbach,95326
Kumhausen,84036
Küps,96328
Landsberg,86899
Landshut,84036
Landshut,84030
Langenfeld,40764
Langenfeld,40764
Langenzenn,90579
Laupheim,88471
Leer,26789
Leipheim,89340
Leutkirch,88299
Leverkusen,51373
Leverkusen,51373
Leverkusen,51379
Lichtenfels,96215
Lingen,49808
Lingen,49808
Lohne,49393
Löningen,49624
Lübeck,23570
Lübeck,23558
Lübeck,23552
Lübeck,23556
Lübeck,23556
Ludwigsburg,71634
Mainz,55116
Mainz-Kastel,55252
Mannheim,68161
Markt Indersdorf,85229
Markt Schwaben,85570
Marktredwitz,95615
Marl,45770
Marl,45772
Maxhütte,93142
Meerane,08393
Memmingen,87700
Meppen,49716
Merzig,66663
Meßkirch,88605
Meßkirch,88605
Mindelheim,87719
Mölln,23879
Mönchengladbach,41061
Mönchengladbach,41061
Mühldorf am Inn,84453
Mühlheim,63165
Mülheim,45468
München,80993
München,80336
München,80336
München,80336
München,80336
München,80935
München,80802
München,80335
München,80335
Münster,48163
Münster,48149
Münster,48153
Münster,48143
Münster,48153
Neufahrn,85375
Neukirchen-Vluyn,47506
Neumarkt,92318
Neuötting,84524
Neustadt,96465
Neu-Ulm,89231
Niefern-Öschelbronn,75223
Nienburg,31582
Nievern,56132
Nittenau,93149
Norden,26506
Norderstedt,22846
Norderstedt,22848
Norderstedt,22850
Nordhorn,48527
Nürnberg,90443
Nürnberg,90443
Oberhausen,46045
Oberhausen,46117
Ochsenhausen,88416
Offenbach,63069
Offenburg,77656
Olching,82140
Oldenburg,26131
Oldenburg,26129
Oldenburg,26133
Oldenburg,26131
Oldenburg,26121
Oldenburg,26127
Oldenburg,26129
Osnabrück,49090
Ostrach,88356
Ostrhauderfehn,26842
Papenburg,26871
Papenburg,26871
Papenburg,26871
Passau,94032
Peißenberg,82380
Pfarrkirchen,84347
Pfullendorf,88630
Pfullendorf,88630
Pfullendorf,88630
Pinneberg,25421
Pirmasens,66953
Plattling,94447
Prien,83209
Pulheim,50259
Quickborn,25451
Quickborn,25451
Radolfzell,78315
Rastatt,76437
Ratingen,40878
Rees,46459
Regensburg,93059
Regensburg,93051
Regensburg,93053
Regensburg,93055
Rehau,95111
Rellingen,25462
Remscheid,42897
Remscheid,42897
Remscheid,42853
Rhauderfehn,26817
Rheinbach,53359
Rheine,48429
Rosenheim,83022
Rosenheim,83022
Rotenburg an der Fulda,36199
Rothenburg ob der Tauber,91541
Sachsenheim,74343
Salzbergen,48499
Salzgitter,38259
Sande,26452
Schneverdingen,29640
Schongau,86956
Schortens,26419
Schrobenhausen,86529
Schwäbisch Hall,74523
Schwandorf,92421
Schwandorf,92421
Schweinfurt,97424
Seesen,38723
Singen,78224
Sögel,49751
Solingen,42697
St. Georgen,78112
Stade,21682
Steinhagen,33803
Stockelsdorf,23617
Straubing,94315
Strücklingen,26683
Stuttgart,70178
Stuttgart,70173
Taucha,04425
Traunreut,83301
Trier,54290
Tuttlingen,78532
Überlingen,88662
Uelzen,29525
Vaihingen,71665
Vechta,49377
Velbert,42551
Velbert,42549
Velbert,42553
Viernheim,68519
Viersen,41747
Villingen-Schwenningen,78052
Vilsbiburg,84137
Vilshofen,94474
Vlotho,32602
Waldbröl,51545
Waldshut-Tiengen,79761
Wardenburg,26203
Warsingsfehn,26802
Warsingsfehn,26802
Wassenberg,41849
Wedel,22880
Weener,26826
Weiden,92637
Weilheim,82362
Weilheim,82362
Weimar,99427
Weinheim,69469
Werne,59368
Werne,59368
Werneck,97440
Wiesbaden,65203
Wiesbaden,65203
Wilhelmshaven,26388
Wilhelmshaven,26384
Wilhelmshaven,26389
Willich,47877
Winsen,21423
Witten,58452
Wittmund,26409
Wittmund,26409
Wolfratshausen,82515
Wolnzach,85283
Worms,67547
Wörth,76744
Wülfrath,42489
Würselen,52146
Würzburg,97076
Xanten,46509
Zetel,26340
Wolfratshausen,82515
Wolnzach,85283
Worms,67547
Wörth,76744
Wülfrath,42489
Würselen,52146
Würzburg,97076
Xanten,46509
Zetel,26340
