Address from List A,Location from List B,Distance (km)
"Industriestraße 10, 12099 Berlin-Tempelhof",Taucha 4425,135.07406055710467
"Leerkämpe 14, 28259 Bremen",Bremen 28279,5.829519021704534
"Adam-Opel-Straße 22, 67227 Frankenthal",Worms 67547,9.51501808404908
"Industriepark 206, 78244 Gottmadingen",Singen 78224,4.444734922711372
"Essener Straße 4, 22419 Hamburg",Norderstedt 22846,4.581903988300988
"Carl-Neuberg-Straße 1, 30625 Hannover",Hannover 30179,4.598160721179609
"Im Hülsenfeld 5a, 40721 Hilden",Langenfeld 40764,8.249886735737364
"Isarstraße 3, 65451 Kelsterbach",Mainz-Kastel 55252,14.334149655048721
"Breisgaustrasse 37, 77933 Lahr",Offenburg 77656,16.96730301138344
"Köthener Straße 8, 6188 Landsberg",Taucha 4425,28.688307799444175
"Osterholzallee 140, 71636 Ludwigsburg",Ludwigsburg 71634,1.9502441023485473
"Trettachstraße 2, 87719 Mindelheim",Mindelheim 87719,1.767487318626313
"Schweinauer Hauptstraße 72, 90441 Nürnberg",Nürnberg 90443,3.4901838568037826
"Serkowitzer Straße 29, 1445 Radebeul",Taucha 4425,87.93188573298262
"Carl-Hopp-Straße 4g, 18069 Rostock",Grömitz 23743,74.73121154882831
"Im Kirchenfelde 9, 31157 Sarstedt",Hannover 30179,16.64618237136092
"Daimlerstraße 36, 89079 Ulm",Neu-Ulm 89231,5.132875443806529
"Wiesenweg 19, 85716 Unterschleißheim",Neufahrn 85375,7.632225658506007
"Mecklenheidestraße 74, 30419 Hannover",Hannover 30179,6.32890440119282
"Berliner Ring 2, 38440 Wolfsburg",Gifhorn 38518,17.446122005505938
"Nordstraße 2, 34590 Wabern",Rotenburg an der Fulda 36199,31.815819570927413
